id,label,mentions
E_NOISE_a71241387bb251f3,leprosy,548
E129,Dry Zone of Ceylon,548
E182,Healthy vessels,545
E135,- family setarinae,509
E_NOISE_99cc5cc0785138a1,swelling,505
E139,- bred,492
E163,A bullock suffering from Piroplasmosis,486
E_NOISE_83aea82175d2a9fd,surra,484
E128,- year old,479
E159,14th day inoculated fowl virus,476
E146,- work,474
E_NOISE_b1b0b8de8a6228f6,patient,474
E_NOISE_4c451f86c483e0e6,sickness,466
E138,Bhutias come down to trade in the cold weather,461
E_NOISE_123349a8c97443b3,persons,460
E180,Ganja mixed with tobacco,447
E111,... ... ... 6co,434
E142,Dorset s egg medium,428
E144,- enteritis in the pig,424
E114,Advisory Board of the Imperial Council of Agricultural Research,422
E103,47.20μ in the side wool to 51.58μ in the shoulder wool,421
E172,"54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu",420
E145,Avian Distemper,419
E112,Alexandria,412
E170,Fallopian tubes,412
E184,All the districts and agencies of the Province,411
E118,(3/4 bred) rams,410
E154,AYRSHIRE-SINDHI COW No.,399
E162,1st October,399
E178,Faeces,391
E95,A Y,385
E168,Acidophilus organism,379
E183,- drains,375
E165,- fathom,374
E153,(8 c.c.) doses,372
E_NOISE_5bf387f1fa5c7044,rabies,368
E140,Aphtisine-131,365
E188,Ameer Hossein,360
E179,- grain doses,359
E175,Captain Illington,354
E_NOISE_3a2f69d97ed73fdc,discharged,348
E126,(15 c.c.) doses,341
E133,A. sundaicus,338
E155,- brush,328
E104,A. Ramachandra Ayyar,325
E181,Lemon juice,299
E_NOISE_532735d11820863e,treatment,294
E186,Fracture of Ribs,294
E176,Mud and Water Sore,294
E_NOISE_fecd0aa4e2bbc2e5,melancholia,291
E_NOISE_36d2b0a31a6434ea,examination,287
E_NOISE_2132d13aae7c3403,Surra,278
E161,. I.0,274
E_NOISE_076df7153a50d682,supply,271
E171,- soil,266
E_NOISE_3a284fcc0cd07af9,doses,259
E_NOISE_cad4a050877f52d6,mental hospitals,253
E_NOISE_9540eeaa88237982,glanders,250
E_NOISE_f3b2c194995639d3,bombay,247
E174,Chenab river,245
E_NOISE_147e1321a96b6c60,foot and mouth disease,244
E_NOISE_94fd76c4c5b93bbf,hemp,241
E_NOISE_c35b07262fca5764,december,241
E189,Abdool Majid Khan,236
E152,E. hagani,236
E_NOISE_041fab82360fe993,acute,233
E_NOISE_ac615abaf7f54e05,mental hospital,231
E_NOISE_4582cd02ee9fd9bc,pain,230
E_NOISE_dec2ab8f64555f89,madras,225
E_NOISE_5c9cb498f540df2e,Government,221
E_NOISE_c5862e65ed359f8b,opium,220
E173,Aurangabad hay,218
E_NOISE_a27d6a64c3f59ac1,examinations,212
E_NOISE_8205aed0c460f4ec,per,210
E_NOISE_45766b48566e9b43,inches,206
E_NOISE_2629fb6d2384da89,pony,206
E_NOISE_433cdfecfbc5711b,samples,203
E169,(or more than per cent.) on that of 1911-12,202
E_NOISE_087522e1e2687308,dementia,202
E164,20-28 μ in their average diameter,202
E_NOISE_c205889c38e3544e,severe,195
E_NOISE_73f7ce7ac1fc93df,arsenic,194
E_NOISE_67ef38a8a1215e77,paralysis,193
E_NOISE_8a08a6112379c526,latrines,191
E_NOISE_222a966c38afe492,hæmatozoa,190
E_NOISE_aeb1effa247b5792,prostitutes,189
E_NOISE_0e7460dfa5c039c1,foot-and-mouth disease,188
E_NOISE_02083f4579e08a61,body,186
E_NOISE_1739255434be3794,discharge,184
E_NOISE_dd25274b12c0d5ce,Bull No.,181
E_NOISE_2dd6b1b5a663cd1b,contagious disease,178
E_NOISE_c6053aa5b7aae18f,manufactured goods,177
E_NOISE_c63e0fd0feed21de,epilepsy,173
E_NOISE_f7db00c282373404,sore,171
E_NOISE_c4c6c5725301c9d2,positive,167
E_NOISE_c21d2445dbeda244,pox,164
E_NOISE_509f62ba8e397f09,hemp plant,161
E_NOISE_90f9b69fcbf8f390,inspection,159
E_NOISE_8f2e7cd784967d6a,culture,158
E_NOISE_82623b0044993f4b,inflammation,155
E_NOISE_78cd1257c37fda82,moderate,155
E_NOISE_57a4e7ca7f6cbd2e,strength,154
E_NOISE_d4c7d6213d917889,nodules,154
E185,- free extract per cent cao per cent,153
E_NOISE_383216819013117c,tick,153
E_NOISE_ba721a0cea3d28ac,bubo,152
E_NOISE_8439fc486bfe4e8c,pulse,151
E_NOISE_c158c5d6aa80d037,phenothiazine,150
E_NOISE_1a954628a960aaef,head,148
E_NOISE_5b6583d6c1c24f39,march,147
E_NOISE_6b0f7a5011d715f8,animal lymph,147
E_NOISE_6b4786add1803ab3,wells,146
E_NOISE_00f97cb506e7cfbb,solution,145
E_NOISE_d314c12e6feb30b7,venereal disease,144
E_NOISE_24fc197e1a51d91a,chronic,142
E_NOISE_71f8e7976e4cbc45,none,141
E_NOISE_8c14c8aed9f7509d,mare,138
E_NOISE_db4d330579352723,population,136
E_NOISE_93e2f96531437897,castrations,135
E_NOISE_b58a412866f99d38,institutions,135
E_NOISE_75d46294912ae28f,abdomen,134
E_NOISE_2787dd15b92acea1,rabbits,133
E_NOISE_e8c5e5be4d4926e3,sp,132
E_NOISE_77e0dc95b2f556a5,hemp drugs,132
E_NOISE_13323cd408493391,venereal diseases,126
E_NOISE_45a3d74843eb469b,lepers,126
E_NOISE_0023991cdc9e78a4,irritation,126
E_NOISE_4fdca7b9b4ec0853,debility,125
E_NOISE_c9279f09f8296b9e,loss,125
E_NOISE_3c41ba37d07d4172,per mille,124
E_NOISE_32096c2e0eff33d8,C,123
E_NOISE_da7d4e551d528b4a,medicines,123
E_NOISE_4ca595d1e4ffed01,mares,123
E_NOISE_72ec44f498d4ad3b,transferred,123
E_NOISE_c52888225c692996,fall,121
E_NOISE_1a45390cc31ab68a,animal vaccination,119
E_NOISE_234469d03cb69577,œdema,117
E_NOISE_1631341d03ae6ff5,evacuation,116
E_NOISE_8525aaa8359e52b9,lines,116
E_NOISE_fac37bc72e5805e4,camp,112
E_NOISE_5ae7b3578bcbde13,raw materials,112
E_NOISE_25f30d353d672994,tap,111
E_NOISE_9e09207037d10f79,ponies,111
E_NOISE_bdb480de655aa6ec,cc,109
E_NOISE_083bfd0cb07cc3a4,Berhampore,109
E_NOISE_cb47297f54884151,negative,109
E_NOISE_07a47c951acae916,abortion,108
E_NOISE_33375351bc25cf13,successful,108
E_NOISE_1adc83a3838bce4a,institution,108
E_NOISE_93a9fff700c60de6,fluorine,107
E_NOISE_437bed141e84de1d,hæmatozoon,107
E_NOISE_80240dcecd105d50,laboratory,107
E_NOISE_5fb28d3b1dcd8b69,abscess,106
E_NOISE_dd063e3fae171e7b,Lab_value,106
E_NOISE_f1cc4335c06d0491,equines,105
E_NOISE_3d607ce565abfce9,seizures,105
E_NOISE_0cd0b19231db9a2b,town,104
E_NOISE_3cdaf5e4636ae69f,acute mania,102
E_NOISE_6347b76c94ec5589,attacks,102
E_NOISE_7211a145b2e50a84,congestion,102
E_NOISE_27d3ffa12113742c,vesicles,101
E_NOISE_1e993f54b7decfd2,latrine,99
E_NOISE_2a89f5d8edec308e,removal,99
E_NOISE_6de7382d33c5a20d,sick,98
E_NOISE_008d58476d874a2e,ether,98
E_NOISE_c0972b1318c18fb0,parturition and lactation (puerperal,98
E_NOISE_a3fb6ad4341c0dc4,cultures,98
E_NOISE_486397d9fa57a71c,chemical analyses,96
E_NOISE_723a23bf6d21cfe8,bombay presidency,96
E_NOISE_f59ecdc6616fbc72,wounds,96
E_NOISE_ea5eb8e27f6e7dd7,medicine,96
E_NOISE_8dfa30e0245064df,balance,94
E_NOISE_eb3c62690ec90257,department,94
E_NOISE_a6d81694b1fea544,attack,94
E_NOISE_f336bfe24343f062,carbon tetrachloride,94
E_NOISE_3c5553994c705868,colonies,93
E_NOISE_5f82205bedf93f9f,ticks,93
E_NOISE_9ca166f6e37b59f6,intermittent,93
E_NOISE_d613fae2ca480973,injuries,92
E_NOISE_08e95d6b1cf80458,flea,92
E_NOISE_97caeec49f2aa12e,bodies,90
E_NOISE_64292b1c2b2e13ea,group,89
E_NOISE_f54fc7f1a09ce03a,Punjab,89
E_NOISE_f6e3f12a4fdc42e7,œsophagus,89
E_NOISE_187770cf5af2d346,fair,89
E_NOISE_3db0dac3fac2c6a3,other contagious diseases,89
E_NOISE_b4db59a5c31d4acd,Diagnostic_procedure,89
E_NOISE_c0cda2e16da46de1,Sign_symptom,87
E_NOISE_6d0ebbbdce32474d,rabbit,87
E_NOISE_1798c770312acb35,rheumatism,86
E_NOISE_bb4a91749fe02cfa,neck,86
E_NOISE_34716af211dd1b19,stud bulls,86
E_NOISE_3ce74cc2e55d8449,carbolic acid,86
E_NOISE_39ac3102333591f7,ozs,86
E_NOISE_b03727da759d98f4,fracture,86
E_NOISE_e074138d45b04949,india,85
E_NOISE_86d09f2bb2839843,inspections,85
E_NOISE_eadcd9bd2a09c75a,do,85
E_NOISE_f441e53ad5e99b7e,piroplasmosis,84
E_NOISE_1785a93e5a968f37,government,84
E_NOISE_cb57a63d823d32e5,elephants,82
E_NOISE_b642f00e23fcf6c3,filtered water,81
E_NOISE_18b0f2de56b8f4f9,Babu Hem Chandra Sen,81
E_NOISE_63f3141b8aee3d7a,cured,80
E_NOISE_168e56cb35632d97,cysts,78
E_NOISE_ab41680771dd34bc,births,78
E_NOISE_82824764d916e9a2,remount,78
E_NOISE_82451b41fd787818,abs,78
E_NOISE_881b995e0bc388df,fairs,78
E_NOISE_44f6713822e1f537,consumers,77
E_NOISE_6248086ba33138fb,registered,77
E_NOISE_97912524f34763ab,material,77
E_NOISE_4d8f35e9ae9055a7,february,76
E_NOISE_9ce1c7e69b947f04,coolies,76
E_NOISE_cf5bae7e0e7de8f2,ccination,76
E_NOISE_b8b8da76cd91b0b5,jaundice,76
E_NOISE_cfb3e59a2a0aa3e2,pie,76
E_NOISE_853911dc66c6fccc,heat,76
E_NOISE_dcdc8b2d0a795513,temporary,75
E_NOISE_b349a4a4eee09737,Plague,75
E_NOISE_ed945d6b996ff456,arm,75
E_NOISE_829cdcbaff866d33,ka la-a zar,75
E_NOISE_b5366a2d2ac98dae,nil,74
E_NOISE_54234b27fef504da,miles,74
E_NOISE_a7a9d603e5cdaf05,delirium,73
E_NOISE_2da36ff30a38777c,station,73
E_NOISE_96b26252097ee0ab,Burma,73
E_NOISE_b4023bbd62ec2f30,segregation,73
E_NOISE_689782cdeef0f690,anchylostomiasis,72
E_NOISE_48eda733f81c9658,wife,72
E_NOISE_866c2eddff254ad4,trachea,72
E_NOISE_7352f8bb58badac7,tetanus,72
E_NOISE_71c61b37a1fb8e1a,Rs,72
E_NOISE_29213958b77b22e1,materials,71
E_NOISE_10e0b8afcbb040e7,wound,71
E_NOISE_02ebf64436347c6b,abscesses,70
E_NOISE_699e7c5c81ca0c74,defibrinated V. B,70
E_NOISE_9023bc9bd0350c38,headache,70
E_NOISE_caf594e5ce3e1036,general debility,70
E_NOISE_53a5687cb26dc41f,success,69
E_NOISE_795e88f2519ea12e,pies,69
E_NOISE_b9c7b42de27fde88,flat,69
E_NOISE_0ae9e4deba260219,elephant,68
E_NOISE_9d7ccb904a1e9cff,climate,68
E_NOISE_bb04d535117ad1fe,cultivation,68
E_NOISE_ce03721ca3b28ce2,treated,67
E_NOISE_073c5dc664c203bb,capsule,67
E_NOISE_50cae2f3964091bb,sepoys,67
E_NOISE_d2955a6892352a18,atoxyl,67
E_NOISE_e059fc6904f0a314,secondary,67
E_NOISE_ca0b59677ef48575,artificial insemination,67
E_NOISE_30eef85dfdd3282c,sugar,66
E_NOISE_69992f1747443a7c,removed,66
E_NOISE_a17347166581d61a,Sind,66
E_NOISE_00b7b8118efde44c,circle,66
E_NOISE_d767a18385f33991,famine,65
E_NOISE_b224a0063c26a977,ration,65
E_NOISE_7b12d937e79a0676,antivenene,65
E_NOISE_61da49adb2c71684,quarters,65
E_NOISE_939bb46a04c3640c,local,65
E_NOISE_3e4b3a02136360d3,Peshawar,65
E_NOISE_be954c5ac4deda51,deterioration,65
E_NOISE_db114947abfcdcaf,petechiæ,64
E_NOISE_171a0606f7c74580,Group,64
E_NOISE_27ee5e4db1c53745,buildings,64
E_NOISE_475305b7c9e9a343,municipalities,64
E_NOISE_e706cf57a6b02d32,two years,63
E_NOISE_b8114546a306ba12,building,63
E_NOISE_82aef589a6ef88ac,adult,63
E_NOISE_f9d71ef2ba7245fd,arab,63
E_NOISE_5116e40694ac48f6,mother,63
E_NOISE_1057042f29476b65,repairs,62
E_NOISE_f0590a6dd3663be1,round,62
E_NOISE_a3404013c7544b09,passport,62
E_NOISE_52b46e924bf71abb,general paralysis,62
E_NOISE_3d9209c4598bfbc3,friends,62
E_NOISE_f444a143a753ef94,Cuttack,62
E_NOISE_00e1afde4755c7ac,casualties,62
E_NOISE_2593bed36799f203,tartar emetic,61
E_NOISE_f6908a01e19f8e04,nation,61
E_NOISE_87af00a51ccb8d15,bacteriological analyses,61
E_NOISE_ed5832724042c50b,copper sulphate,61
E_NOISE_2a39f5bd98944b90,madras presidency,61
E_NOISE_0af64388b588a51f,weeks,61
E_NOISE_7b5bc677dd6b86b7,acute infective diseases,60
E_NOISE_ad560e4616e0d428,fleas,60
E_NOISE_7614d7d61a5f9ff7,inhabitants,60
E_NOISE_da1f3f23ab15f716,kala-azar,60
E_NOISE_8a2423642f4e1351,organic matter,60
E_NOISE_f12e1e8f455f823f,yield,59
E_NOISE_815fe72003f069e4,extraction,59
E_NOISE_e162c7e1662e31d9,pharynx,59
E_NOISE_9fb29051f2217270,show,58
E_NOISE_de2d15fc046231f5,campbell hospital,58
E_NOISE_ab41eb3febbf7b75,mixture,58
E_NOISE_a66cd1a2dad21e17,excitement,58
E_NOISE_a6a4fa5a3f14e748,chemical analysis,58
E_NOISE_4d970724dda5d89a,prostitution,58
E_NOISE_98910a6e9ae7a753,them,58
E_NOISE_b63ae12fe3c8708e,tank,57
E_NOISE_b71e552145590198,unregistered women,57
E_NOISE_c916da70cd4a3251,Nil,57
E_NOISE_a8e0e650ac24e2a5,infectious diseases,57
E_NOISE_4b79ddeaed2a8520,bengal,57
E_NOISE_c5b0c16a71e80ada,injury,56
E_NOISE_27e90dfa57c358ac,at,56
E_NOISE_e5ef074a1e4d757d,Glanders,56
E_NOISE_3e70953c341c7546,Bellary,56
E_NOISE_df1d03c58cfda593,pest,55
E_NOISE_8699f2b04f0dd007,permanent,55
E_NOISE_3cfe832cd240bcfd,buboes,55
E_NOISE_da4e97faf2fd252d,bengali,55
E_NOISE_028cd03aef837255,hostel,55
E_NOISE_a34c860a9909dd2e,cash,55
E_NOISE_15e523caea1a58bb,establishment,55
E_NOISE_4feba2dd048807c7,fatigue,55
E_NOISE_0595e5a5a4f04478,out-patients,55
E_NOISE_6ef14bf295313a5b,remounts,54
E_NOISE_807a11e7b9317200,boil,54
E_NOISE_035294d01dde5efc,species,54
E_NOISE_65b0cfa2ea6d87a3,accommodation,53
E_NOISE_8d325727cc0567c8,kala azar,53
E_NOISE_a1ac6885b1640764,scurvy,53
E_NOISE_316be803af63cd39,husband,53
E_NOISE_04d13fd0aa6f0197,tests,53
E_NOISE_7b84b960a0dca8c3,controls,53
E_NOISE_aa66b6130b72f9d2,presidency,53
E_NOISE_2fbb75ed4850fac8,lice,53
E_NOISE_929acc22827b3798,hindus,53
E_NOISE_d1d9b9355fa9cd3e,air,52
E_NOISE_ee848a3b5b3fb004,police,52
E_NOISE_766f6ccae366c643,typhoid fever,52
E_NOISE_94fca32e53f0261f,tenderness,52
E_NOISE_f1d33299a3826fe3,cyst,52
E_NOISE_7f90732a6c842640,heifer,52
E_NOISE_e3d0f9d6059f6b98,lactation,52
E_NOISE_86dd1cf45142e904,host,51
E_NOISE_c20ab6d118288345,branded,51
E_NOISE_0926b180ed7d677c,two months,51
E_NOISE_49dc1cb094dffe3a,face,51
E_NOISE_30f088ea6673877c,he,51
E_NOISE_a9db906761699b31,June,51
E_NOISE_3fe9e5e63026705b,rabies virus,50
E_NOISE_ce2fcff2aeb8adf9,disorder,50
E_NOISE_929fcb61b05b6819,strains,50
E_NOISE_88504dee779be75b,mallein,50
E_NOISE_8ff90d83c29b32f5,illness,50
E_NOISE_d77df9734c32e228,deprivation,50
E_NOISE_4b6339ba29a58280,ratio,50
E_NOISE_8bebf68bd1672200,exhaustion,50
E_NOISE_432a230b6a192b76,leper,50
E_NOISE_d7d19b7f773dbd64,towns,49
E_NOISE_bbddaecf652d91d8,smears,49
E_NOISE_15ff67ac66cc678c,digestion,49
E_NOISE_757d268c5c46e721,pigeons,49
E_NOISE_70070845d1d99384,gigantin,49
E_NOISE_7863c0231f79905a,freezing point,49
E_NOISE_aa3939a63ace95f5,tumor,49
E_NOISE_c1c15dca09387261,native superintendent,48
E_NOISE_c828076471935e6b,experiments,48
E_NOISE_43f68b7c40f91503,stud,48
E_NOISE_44d476274f1e50be,earth,48
E_NOISE_0a72d2dcfd1762a7,young stock,48
E_NOISE_a1ea5461c70014e5,destruction,48
E_NOISE_cdc685351406a95e,scholarships,48
E_NOISE_20bcadbbdec8be3e,testes,48
E_NOISE_235b0f504b797068,superintendent,48
E_NOISE_22bdf47be3fd0a53,Do,48
E_NOISE_64875fcccaac069f,fish,47
E_NOISE_ab58a79523bf08d1,cattle fairs,47
E_NOISE_45a21e4b5b2a90eb,morning,47
E_NOISE_3b729af3de8c4f0f,encephalomyelitis,47
E_NOISE_d21a35b595c60d10,males and females,47
E_NOISE_5c3a35ef85f22d50,February,47
E_NOISE_337432e46878520c,chicks,47
E_NOISE_9d6f9dcd2704c3e3,Ajmer,46
E_NOISE_2c54892c40a17516,city,46
E_NOISE_9e1cf37cf5b975cf,crude fibre,46
E_NOISE_a87c5b3eefe1b0b8,Bayer,46
E_NOISE_7649fe7e773b113d,non - contagious diseases,46
E_NOISE_221523792a27037e,peon,46
E_NOISE_9d339e0e485a6386,larvae,46
E_NOISE_449d67553f8f1ded,hæmoglobinuria,46
E_NOISE_cdf7e925f5746741,results,46
E_NOISE_b2dabd25c4782e6b,digestibility,46
E_NOISE_fad1bb1de52ae35e,joints,46
E_NOISE_3538a58b6ea52b31,stain,45
E_NOISE_a0346fbead702399,Lahore,45
E_NOISE_b483b668ed18bcf5,bath,45
E_NOISE_f7c24821f67c53a0,bayer,45
E_NOISE_b8d09b4d8580aacb,mm,45
E_NOISE_8fa8a3c2de612bcb,april,45
E_NOISE_444d4678962b430a,falling,45
E_NOISE_afc4ccc39d3ca4dd,fowl cholera,45
E_NOISE_b58e132170a31f21,sterility,45
E_NOISE_526c6e03564b03e8,oz,45
E_NOISE_9d989e8d27dc9e0e,cat,45
E_NOISE_eb9e4a900705e5ac,ordinary,45
E_NOISE_ac4be5ac63e1ea62,cap,44
E_NOISE_95e968da9c458a2c,straw,44
E_NOISE_3e83b13d99bf0de6,penis,44
E_NOISE_51ea74ccbdb25443,preventive inoculation,44
E_NOISE_86d3bfb618a7b1cd,collapse,44
E_NOISE_0cbc90a09474a97b,Arsenic,44
E_NOISE_7ef3554ddab0bd74,Akyab,44
E_NOISE_15e9abb2e818480b,skull,43
E_NOISE_5b0df6a8b9a96c11,registration,43
E_NOISE_1102b412ca0fd4a8,certificates,43
E_NOISE_a4d7768c9cb580af,Secunderabad,43
E_NOISE_bd91cf718689fc40,licensed,43
E_NOISE_bd99614461307466,Muktesar,43
E_NOISE_ef7573952f0b6222,constitution,43
E_NOISE_fbf5f2a2875b3bb6,tail,43
E_NOISE_80975a65bd84d3dc,coccidiosis,43
E_NOISE_58fe278591de7219,conjunctivitis,43
E_NOISE_818eb310ba4b2698,ankylostomiasis,43
E_NOISE_ec80b53276b85445,mastitis,43
E_NOISE_233471efd5752016,pollution,43
E_NOISE_c500ac1967f9e23c,pains,43
E_NOISE_f2c9bd9fdbd28034,barley,43
E_NOISE_1417de0568c5ce62,thoroughbred,43
E_NOISE_23ed1cac7970d9b6,embryo,42
E_NOISE_b1fda06c54350328,ammoniacal nitrogen,42
E_NOISE_f61b43b4164a1f11,attendance,42
E_NOISE_a15573cc6062697d,central provinces,42
E_NOISE_824ee68a8c817170,hang,42
E_NOISE_430d8611aea4a4d5,dung,42
E_NOISE_9ce5ff458c686cc5,filters,42
E_NOISE_605bdf02458f7cde,fodder,42
E_NOISE_bfce77e5379654b1,autogenous vaccines,42
E_NOISE_be9a2ca0d460afa6,rupee,42
E_NOISE_dcde638f88699e82,Bassein,42
E_NOISE_a85df8270dcc374f,humidity,41
E_NOISE_44b6ab7c8d83da43,stations,41
E_NOISE_1e1f5b1d00ca6953,District Boards,41
E_NOISE_cc5a0c506761ce68,eleven,41
E_NOISE_ae2f9753f2ae5b98,Rabies,41
E_NOISE_6f7b5a3702dcc731,Hindus,41
E_NOISE_8bf89849bbeb4131,ul,41
E_NOISE_56b365b836d93d37,thorax,41
E_NOISE_c465873d6fe54fd8,local bodies,41
E_NOISE_b6a8f89581549d66,iron,41
E_NOISE_6ea5fcbb808a3f09,causes,41
E_NOISE_e031d33f5ff20a52,bile salt lactose,41
E_NOISE_b1ade531057f51c2,garden,41
E_NOISE_39aa12e6d633fbb4,cast,40
E_NOISE_2156e40a12d6bdb6,poor,40
E_NOISE_766abba153f78155,Amritsar,40
E_NOISE_982aa9d151715b54,november,40
E_NOISE_c24f5cff02c08728,thirteen,40
E_NOISE_7377a06f3bdb0cdd,sind,40
E_NOISE_3427cb00a6d6f644,wild hemp,40
E_NOISE_e99a7515615284cc,glycerine,40
E_NOISE_6f58ea68fb10bdf4,peshawar,40
E_NOISE_ce2f9f62adc2cc95,emulsion,40
E_NOISE_fad3b1d67387da69,daily average strength,40
E_NOISE_951a8e25335b1834,abomasum,40
E_NOISE_ee97d2f28ccffbc4,young,39
E_NOISE_0d428729188f9239,affection,39
E_NOISE_0438a2e3eb549cf7,chronic mania,39
E_NOISE_53da93b574ec0efe,bleeding,39
E_NOISE_9c5c72058db17d14,copper,39
E_NOISE_12f399525222ddec,patches,39
E_NOISE_1461459288a7e334,Ahmedabad,39
E_NOISE_de54d197f433d887,Foot and Mouth disease,39
E_NOISE_06366f1a096d61ad,indian mental hospital,39
E_NOISE_9cfc49e63fb453e1,recruits,39
E_NOISE_a6f02b59755c7dfc,pustules,38
E_NOISE_d9508a0e5f4af474,shows,38
E_NOISE_b0b75213ac73182e,oesophagus,38
E_NOISE_4ec9949330278cd7,oral sucker,38
E_NOISE_5880e1042b9d7873,monkeys,38
E_NOISE_444ebb4d0aa65f21,castration,38
E_NOISE_5c4536867a94ff5a,thymol,38
E_NOISE_11119f5f9c9fe1b0,others,38
E_NOISE_03a2df46d479ef97,moderate use,38
E_NOISE_0eecff5ae1694ec7,rumen,38
E_NOISE_c2d0871caf3509d2,emaciation,38
E_NOISE_b1f6e510eb0f015b,con,38
E_NOISE_41953c835caa3062,madras asylum,38
E_NOISE_043f8904d13ed4cf,alkali treatment,38
E_NOISE_a40bf353bb82b8b6,quarantine,38
E_NOISE_c74bb33279595171,owners,37
E_NOISE_ddffa3aa76f86c24,depo t,37
E_NOISE_af4dbc9bb2405869,heifers,37
E_NOISE_a6a5b795304c85af,anatomy,37
E_NOISE_78757fb592df4c03,sanitation,37
