id,label,mentions
R248,at Benares fell from to and there were only deaths as against,110
R423,Formation of,110
R283,Has been good and abundant during the year,109
R256,a most virulent form,109
R278,) arrest the bleeding,107
R_NOISE_f933f95d2dc9923f,obtained from,107
R243,Europe on privilege leave,107
R_NOISE_56a4a447c5888766,responsible for,105
R280,about one-half of the infants born in the past year were protected,105
R336,Leper,104
R397,Escaped,104
R324,Blood healthy,104
R318,Head of,103
R310,07) lowest in the Nowgong district,102
R282,Division of the area into,102
R254,Base-Orange exudation,101
R328,are detained at Moses s Well,100
R292,Examination of passengers,100
R400,attributed to increase in cases treated,99
R385,Filling,99
R331,Both lungs were consolidated and numerous large cavities were found filled with,99
R277,action of strong sunlight upon,99
R305,Removal of patients to Hospital,98
R_NOISE_f732c30d2d9dbd0c,has value,97
R382,Balance,97
R288,Corporation of Rangoon,97
R325,Character of sexual forms,97
R339,It shall be competent to the Cantonment Committee to make special rules,97
R363,"Cuticular portion healthy, the villous portion is normal in colour, and presents",97
R351,affecting the growth adversely,96
R313,Number of persons vaccinated Re-vaccination,96
R308,Administration of the Department,96
R281,added in each tube,96
R_NOISE_faaa517ea6cb1523,detected in,95
R268,abounds in difficulties,94
R267,above ground level,94
R295,able to convert carotene into vitamin-a much more readily than,94
R321,are generally looked down upon by educated natives,93
R388,B Transferred to friends. Improved,93
R301,B. typhosus was nearly complete in,93
R_NOISE_a146577f222d3788,appeared in,93
R304,Effect of Codliver Oil and Potassium Iodide on the Growth of White,92
R_NOISE_1d71315e40d78817,given,92
R_NOISE_59f1c9d029e6aa8e,result of,92
R378,Highly significant differences existed among the monthly averages as well as in,92
R347,Brain,91
R291,All of,91
R408,Remaining on the end of,91
R307,Madras,91
R289,New Principles of the Organization and technique of mating of cows,91
R315,"Showing obvious pollution such as coloured cotton fibres, etc",90
R338,) through cattle or buffaloes exalts it for bovines,90
R448,Apprentices,90
R386,Artificial Insemination at the Rorre de Picenadi Centre,90
R_NOISE_17121f4992c07247,accompanied by,90
R350,Khan Sahib Abdul Haq held charge throughout the year,89
R409,acute,88
R300,March to Mundea,88
R327,Moderate,88
R284,R15 to each,87
R322,active and moving in,87
R323,Anti-rabic inoculation of dogs and horses bitten by rabid animals has been,86
R431,Best yield,86
R319,Average number of prostitutes attending the periodical examinations,86
R377,During the year a new stallion stand has been opened,86
R352,Autopsy result,85
R383,Exposed to air they deteriorate,84
R343,Deputy Superintendent has been fined a month s pay for neglect of,84
R312,Anti-Plague Inoculation,84
R316,Amount of virus injected subcutaneously,84
R344,Gonorrhœa has decreased slightly at Rangoon,84
R425,Considerable decrease in attendance ; no operations in either year,83
R427,Lesions Produced by,83
R371,"20,000,000 or more bacteria per c.c",83
R353,. Heredity,83
R335,July,82
R306,accepted proposals for mosquito survey,82
R340,"Bhang, tolas, pies. Ganja, tola, annas. Charas, tola, to annas",82
R346,Buffaloes,81
R337,Drainage,81
R358,Cultivation and Treatment by means of a Vaccine prepared from the Cultivations,80
R361,a satisfactory condition on the whole as to cleanliness and conservancy,80
R326,"a.m. to noon at C, from noon to p.m. at C, from",79
R420,appear thick and larger than natural,79
R424,Line Color,79
R369,admission and death rates lessened,78
R349,added to the soil before sterilization,78
R317,Four cases of Surra in camels were reported in the Thar Parkar,78
R342,"Equines, Bovines, Canines, Rats, Bandicoots and the various Trypanosoma obtained from fresh",78
R_NOISE_ad7f64969962fa06,complicated with,77
R364,Complete hæmolysis,77
R341,Cuttack to Dullunda,77
R334,after which the bite of the fly becomes infective,77
R330,178lbs,77
R426,accounts for the slight excess of this rate over that of the,76
R414,Rises in the line of,76
R376,all his clothings are burnt,76
R417,Ages of Lunatics,76
R356,Calcutta,75
R462,admission rate remains practically constant,75
R_NOISE_ca674891bdad0d5c,causing,74
R348,Hæmorrhagic Septicæmia serum were prepared,74
R_NOISE_e3887b6c57b92227,inspected by,73
R365,Some circle to the right while others to the left,72
R_NOISE_7c4f7733e69081d4,issued,72
R402,are sterile,72
R379,Wardha who had become,72
R449,Ajmer-Merwara,72
R446,Exceedingly gradual diminution in infectivity from,72
R461,14th Hussars. Two in the former corps were due to accidents ;,71
R_NOISE_0a5ae7752495091b,included in,71
R453,Description of Two New Species,71
R380,Inspectors against one of the previous year inspected between,71
R_NOISE_ce7cb27ff29311ea,types of,71
R_NOISE_8c48925c163da01f,collected from,70
R406,action is more prolonged,70
R432,appears to degenerate rapidly into,70
R_NOISE_c1380af486591139,contain,70
R373,administered always with good results,70
R375,appeared flabby and soft,70
R360,Take of Black-catechu,70
R387,Analysis of wool samples (Bihar,70
R389,Cycle in the Tick,70
R407,affected with insanity generally in the form of mania,69
R445,Stock. Balance in hand from 1905-1906,69
R454,Caustic,69
R366,"Hackneys, with nine each",68
R418,"admitted twice, and even thrice",68
R442,allowed to run about at a time when,68
R381,Cut at early stage at in,68
R405,No connection between leprosy and,68
R439,annual cost decreased by Rs.,68
R_NOISE_2195f646db4183f0,prepared and issued,67
R416,Indian universities would cease automatically at that date,67
R393,Mortality and Autumnal Fever Mortality in the Punjab from,67
R_NOISE_959793f1086d04f7,Remaining on,67
R_NOISE_22b116248b656f21,decreased,66
R398,Arsenic,66
R412,Protein Requirement of the Chick as Influenced by Aureomycin,66
R395,Relapsing Type,65
R394,Percentage of large mono-nuclears,65
R415,Contrary to the general impression that shearing Indian sheep once a year,64
R_NOISE_6789d7b42c97728b,composed of,64
R434,Building and out-houses are in a good state of repair,64
R452,Belooch regiments stationed at Kurrachee and Hydrabad,64
R428,Air,63
R458,Bupture of,63
R411,about half as many,63
R410,Temperature collapse on second day,63
R437,Agglutinability of different strains of Bacillus mallei,63
R438,absorb heat faster than,63
R399,Choleraic Comma-bacilli into the Subcutaneous Tissues in Guinea-pigs,63
R403,Latrines and Kitchens,62
R_NOISE_fa8f906a23fd014f,related to,62
R441,Country rice per man daily,61
R_NOISE_c9fef98c8f4640b4,is part of,61
R_NOISE_a3c5dfbc90082a47,was due to,61
R_NOISE_a08957bcf8fa62e9,were due to,60
R422,Building a cooking-shed for servants,60
R447,a fully developed flagellum,60
R419,August,59
R421,"Immediately on the drying up of the disinfected place, limewashing with quicklime",59
R_NOISE_0f1efa5cec86b1d1,derived from,59
R_NOISE_d8948917bfd67fce,contained in,59
R_NOISE_d8cdf77d02b7eb3d,induces,59
R455,Vesicles,59
R_NOISE_493a4f4dec3fae1b,applied to,59
R451,F. ratios as worked out separately for the two ejaculates were found,58
R435,Anthelmintics for the worms in alimentary canal of,58
R_NOISE_489074d28197cf1e,revealed,57
R_NOISE_d71dbbd9a88eee25,issued to,57
R430,Ligature of,57
R456,accumulate in the substomatic spaces,57
R_NOISE_064993b83c3ba948,amounted to,56
R_NOISE_22bdf47be3fd0a53,Do,56
R_NOISE_764ebba785088654,since last analysis,55
R460,Progesterone-like effect on the rabbit uterus was not confirmed by Pratt,55
R_NOISE_57d808b2aacd0038,consist of,55
R457,Chemical reactions of Colchicine and Salicylic Acid correct; weight approximately correct,54
R_NOISE_9b61feaa504028c2,containing,51
R_NOISE_f05c20c99e805cc7,yielded,51
R_NOISE_00f554d678f26112,included,50
R_NOISE_594200e701b3e8ab,consisting of,49
R_NOISE_8c997f7cd8be306a,content of,49
R_NOISE_11ff7588470d1dab,combined with,48
R_NOISE_0a1a6affeae4ef36,increased from,48
R_NOISE_96dff08b7dda6ab9,made over to,47
R_NOISE_d358da965c8d39cb,including,46
R_NOISE_f9f8a686fbfd42b2,resulted from,45
R_NOISE_40d77ecb8d464a85,spent,45
R_NOISE_32b2f2ce0381e1dd,wages,44
R_NOISE_13c717a2038b89ba,special senses,43
R_NOISE_7a46909107dd963f,rose from,41
R_NOISE_98d8144d5d5ac044,classified as,40
R_NOISE_3960ec4ca5fb5e5d,Host,40
R_NOISE_930ab839436c8994,attributable to,40
R_NOISE_eadcd9bd2a09c75a,do,39
R_NOISE_51a675c8070563e5,became,39
R_NOISE_1675f51311f03c32,has_sign_symptom,38
R_NOISE_481164b30f6b303b,credited with,38
R_NOISE_aaff4c2c31b1d680,inspected by me during the year,37
R_NOISE_72996b9745c7864d,store at the end of the year,37
R_NOISE_ffed391ca2a6c8bb,during,37
R_NOISE_5084f78c77743a76,adulterated with,36
R_NOISE_303afea54e4d438b,Manufactured by,36
R_NOISE_da8f0d7510e85ae1,duration of service,35
R_NOISE_909f546a397c5724,patients admitted in,35
R_NOISE_95ab30c6b51e69a4,has condition,35
R_NOISE_d0cc607bc78e1caf,served for,35
R_NOISE_036ba02b756f72a2,admitted during the year,35
R_NOISE_ede27bac62ca20dc,is endemic in,35
R_NOISE_721f92bc172419dd,connected with,34
R_NOISE_895e220e9767a074,was responsible for,34
R_NOISE_924d7e6d624cf51b,is associated with,32
R_NOISE_9c0ec7c9a7b8770e,at Rs. per mensem,32
R_NOISE_a3c8cc4386a84794,were inspected,32
R_NOISE_86192cf1c297adcb,Duration of illness,32
R_NOISE_6882c5d24305f097,result in,32
R_NOISE_4721bdff1bb602fc,resulting from,31
R_NOISE_ce20da5a6b6617ac,rose to,31
R_NOISE_af39d48ff310259d,invalided for,31
R_NOISE_79b97eb3d37cae06,classified according to,31
R_NOISE_1b05d637f0409cc9,alone,30
R_NOISE_68ba561c6bcbb4f9,mentioned in the text,30
R_NOISE_be658e38c378ba86,results of,30
R_NOISE_de6e68548856d486,contracted from,30
R_NOISE_021cafcc7709e7f7,led to,30
R_NOISE_75c3f2c5c641a53c,gives rise to,29
R_NOISE_f4d06ebbbc4a4302,contracted,29
R_NOISE_e73d96f7a55b5602,belonged to,29
R_NOISE_7ec64fecae08b473,reduces,29
R_NOISE_692323a8e4898252,obtained,28
R_NOISE_6a3188d9ee4ea210,presented,28
R_NOISE_23919a5fd73a4d18,incidence of,28
R_NOISE_b3f08afab9ade696,attacks and deaths,28
R_NOISE_de047f6c11cc8949,occupation of patients,28
R_NOISE_d64c5398b7457555,purchased and all other charges,27
R_NOISE_e787c3be8a362e04,can be,27
R_NOISE_7bc21c13cda91aae,dissolved in,27
R_NOISE_6067738c5df75897,made of,26
R_NOISE_44a8b851a3cf02c0,bites,26
R_NOISE_58e3d0e2c9c06d39,over per cent,26
R_NOISE_7bcbf908e034c8e5,become,26
R_NOISE_be71753ab132cc8c,number of,26
R_NOISE_71e404a38d281170,dated,26
R_NOISE_b517a0074e1ff535,discovered in,26
R_NOISE_a4d5b0a0aca94ac7,presents,25
R_NOISE_66412942ec54b8e0,belong to,25
R_NOISE_ade3a1392f2b630a,particulars of establishment in,25
R_NOISE_72caf7e389eaca71,involves,25
R_NOISE_aa292a2f2fd4073b,increased from to,25
R_NOISE_44bfd31976efd303,correlated with,25
R_NOISE_709634051471385a,between,24
R_NOISE_a2d28bb16aa243b9,made from,24
R_NOISE_970eeb47b2d091dc,called,24
R_NOISE_2037f9bbd65a87f6,resulting in,24
R_NOISE_7de50bcbce8487fa,furnished,24
R_NOISE_a9bf74af93b8d0d4,effective against,24
R_NOISE_a042c64830f63b62,inoculated against,24
R_NOISE_71e28e86ee3c3fa5,account for,23
R_NOISE_701530be9e64ea5f,Location in host,23
R_NOISE_2ab6864bd770a0e9,identified as,23
R_NOISE_53a4f8a92e1ab3cd,whom supplied,23
R_NOISE_3c5c4c8fdc6ce87e,ascribed to,23
R_NOISE_e7a6e0a6af153944,location in host,23
R_NOISE_83b8c5c44e5eb51c,mentioned in text,23
R_NOISE_f3cfa9e6591e3b71,accounts for,22
R_NOISE_341eb9b251449be2,numbered,22
R_NOISE_a6d4be916c8551e0,Dispensary Vaccination in the District,22
R_NOISE_bb48fdf17ffddfa6,induced by,22
R_NOISE_55e7b66c23411d7b,duration of,22
R_NOISE_15d4c47e388caa53,tested in Trial,22
R_NOISE_4e58ac78738f8185,becomes,22
R_NOISE_63e2a7cc889dcfbc,made by,22
R_NOISE_2a12f4c86a249fad,induced,21
R_NOISE_4cec83e76ba18027,removal of,21
R_NOISE_3a768d80dac63bc8,has part,21
R_NOISE_e0727ed1076f379d,dose c. c,21
R_NOISE_d41d9068bf980bb0,monthly wages,21
R_NOISE_6e0a0b7638069dff,combination with,21
R_NOISE_dafc69c141142d63,presence of,20
R_NOISE_24bd56a67ba636b0,inoculation against,20
R_NOISE_80b2f559a1474852,equals,20
R_NOISE_5faa59d4bc375604,Result,20
R_NOISE_b6612bf01d6164e4,neutralise,20
R_NOISE_9ff03fba3e4db199,connection with,20
R_NOISE_757afe3d92e7a928,c.c,20
R_NOISE_e2660cafdd2500bd,due to infection or infestation,20
R_NOISE_52629cd6c0a9f4a5,cultivated by rotation in the College compound,20
R_NOISE_1ed61af792e7c792,has value of,20
R_NOISE_7ba4fd9b7bb1e9cf,exhibited,20
R_NOISE_5a2798377838748d,given in,19
R_NOISE_2d0af140ad3b1e71,were in,19
R_NOISE_a0dea463a4edd82f,early life,19
R_NOISE_99abec800db70768,set in,19
R_NOISE_a80b751a47b64f78,impairs,19
R_NOISE_41972af6313fce1e,inoculations against,19
R_NOISE_e7f87dfb4e986ee6,would receive,19
R_NOISE_71459446ffe2abe2,dealt with,18
R_NOISE_87b6a62059ed2369,printed at,18
R_NOISE_a4b392695e2ff75b,died before,18
R_NOISE_188394d28f08afd9,relation to,18
R_NOISE_b25928c69902557b,Total,18
R_NOISE_122ba9e869298a44,depth of,18
R_NOISE_393fbc975497e806,at the seat of inoculation,18
R_NOISE_96e5b2a78c49fd6e,fermented,18
R_NOISE_9a9d3c739e55444c,slaughtered,18
R_NOISE_36b4acce0d8e5c7f,exposed to,18
R_NOISE_0081c397e6feec3f,decreased in,18
R_NOISE_f0ec8f32a3a6a30d,addicted to,18
R_NOISE_620f8c5c9b81871d,tested as to their efficacy for this condition,18
R_NOISE_11f34cf710d8b7c9,Rs.,18
R_NOISE_effaa2be3f37e5bf,deals with,17
R_NOISE_72220964400d9035,rose from to,17
R_NOISE_52fe0edf77162780,Admitted during the year,17
R_NOISE_f87095575d1bb622,spread by sea,17
R_NOISE_e574760726a14110,capacity of,17
R_NOISE_91297c67b11a53ac,is due to,17
R_NOISE_674cf21e70666864,induce,17
R_NOISE_56b5f1c9704b1dd7,made its appearance in,17
R_NOISE_135f93b7a44905b6,similar to,17
R_NOISE_91b9c361ad115d5f,occurrence in,17
R_NOISE_aadb3acb3dc79004,occurrence of,17
R_NOISE_56662bfc3b5b84ab,were expended,17
R_NOISE_414e681ebabcd2f2,returns,17
R_NOISE_d70bea470b150ee8,belonging to,17
R_NOISE_fe97a688d916f951,came into force,17
R_NOISE_e05c793c9e720693,give rise to,17
R_NOISE_453ca94c1e10b385,forms,17
R_NOISE_437a868af6964a52,revealed the presence of,17
R_NOISE_f3d790c26825c3b2,died after inoculation,17
R_NOISE_2b6acf0992be0f2a,during ensilage,17
R_NOISE_68e0c98579bf3502,live in,17
R_NOISE_4e215fbcb864ef3a,at Rs,17
R_NOISE_59bf3228311788a9,at Rs. each per mensem,17
R_NOISE_5a39ac5925383046,held the post of,16
R_NOISE_cca856a142557764,contracted at,16
R_NOISE_b5366a2d2ac98dae,nil,16
R_NOISE_e03b07b534b698d2,inoculated subcutaneously with,16
R_NOISE_11ecdd86132b0736,on account of,16
R_NOISE_5ee0bb55782f61e9,out of,16
R_NOISE_3e792bd8c69b79bc,under local bodies,16
R_NOISE_65eb2811e0d8d727,forwarded to,16
R_NOISE_e95ed3fd9b024263,detected by,16
R_NOISE_a22d66c8578a038b,Arrived,16
R_NOISE_f0fed7e493230291,over,16
R_NOISE_56295622551b26d2,gave rise to,16
R_NOISE_8ac1d76e6c624d84,managed by,16
R_NOISE_d7e974b94c353a37,suffered badly from,16
R_NOISE_2021e0e95e66fd09,case of,15
R_NOISE_5a6cea9e3db77fed,P. M,15
R_NOISE_6d21d46c9a2fc9e3,tried in,15
R_NOISE_b4df5e641c9e5fec,died before inoculation,15
R_NOISE_82e8013e426e5acb,reached,15
R_NOISE_e7b3b6328287da4f,preserved in,15
