Topic,topic_size,Name,Representation,Representative_Docs,top_terms
10,110,10_absent_ward_ft_health,"['absent', 'ward', 'ft', 'health', 'admitted', 'good', 'state', 'contour', 'discharged', 'admission']","['Absent After Absent. Absent After Absent. successful or per cent After general.', 'c At Absent.', 'Absent Has_value general.']","absent, ward, ft, health, admitted, good, state, contour"
11,106,11_oil_trial_bheesties_codliver,"['oil', 'trial', 'bheesties', 'codliver', 'iodide', 'potassium', 'growth', 'white', 'effect', 'fathom']","['oil Bad salt solution. oil Bad salt solution. oil Has Ether Extract Content Of general. oil And Grms Of Nitrogen Per Day Or And Grms oil. oil Has Crude Protein Content Similar To That Of oil.', 'oil Condition Much Improved Bheesties. oil Decrease W. L. oil Decrease Acidophilus organism. oil Source Of Produce Bheesties. oil Deteriorated Bheesties.', 'oil Absorb Bheesties. oil Absorb Bheesties. oil Absorb Bheesties. oil Absorb Bheesties. oil Effect Of Codliver Oil And Potassium Iodide On The Growth Of White oil. oil Effect Of Codliver Oil And Potassium Iodide On The Growth Of White oil. oil Effect Of Codliver Oil And Potassium Iodide On The Growth Of White oil. oil Effect Of Codliver Oil And Potassium Iodide On The Growth Of White oil. hydrogenation Effect Of Codliver Oil And Potassium Iodide On The Growth Of White oil. Bheesties Absorb Bheesties.']","oil, trial, bheesties, codliver, iodide, potassium, growth, white"
12,95,12_clothing_48s_stain_fleas,"['clothing', '48s', 'stain', 'fleas', 'available', 'gunny', 'tunic', 'is', 'burning', 'burying']","['48s clothing Destruction Of 48s clothing. 48s clothing Destruction Of 48s clothing. patients After Treatment A Medical Inspector. Admission and Discharge Book Out Of Which Autopsies were made on. Admission and Discharge Book Out Of Which discharged.', '48s clothing Above Ground Level 48s clothing. 48s clothing Above Ground Level 48s clothing. 48s clothing Above Ground Level 48s clothing. time of exposure necessary to destroy all the fleas Above Ground Level 48s clothing. fleas Destruction Of 48s clothing. fleas Action Of Strong Sunlight Upon 48s clothing. fleas Escaped African grass. 48s clothing Spread On Sand sand. 48s clothing Are Separated From It By A Space Through Which The Air Can 48s clothing.', '48s clothing Excellent 48s clothing. 48s clothing Excellent 48s clothing. weaving Casualties During The Year lachrama.']","clothing, 48s, stain, fleas, available, gunny, tunic, is"
13,89,13_fatal_cc_doses_two,"['fatal', 'cc', 'doses', 'two', 'berhampore', '6co', 'mortality', 'become', 'ensheathed', '1st']","['3 c.c.) doses All Under 4 fatal.', '4 fatal After Absent.', '4 fatal Administered 4 fatal.']","fatal, cc, doses, two, berhampore, 6co, mortality, become"
14,88,14_madras_presidency_mental_vaccination,"['madras', 'presidency', 'mental', 'vaccination', 'witnesses', 'hospitals', 'square', 'carinata', 'trimeresurus', 'adamanteus']","['madras Dispensary Vaccination In The madras.', 'madras Part Of madras presidency.', 'madras Anthrax madras.']","madras, presidency, mental, vaccination, witnesses, hospitals, square, carinata"
15,81,15_aqa_qi_ya_administered,"['aqa', 'qi', 'ya', 'administered', 'attendance', 'abyssinia', 'febrifuge', 'treatment', 'ox', 'solution']","['Aqa qi ya Complete Hæmolysis Aqa qi ya. Aqa qi ya Complete Hæmolysis Aqa qi ya. intravenous injection Diseases Of The Urinary And Generative System Aqa qi ya.', 'Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. Abyssinia After Treatment Aqa qi ya. typhoid fever All Attempts At Artificial Cultivation Of Have As Yet Failed To Give Aqa qi ya. Abyssinia Best Yield Aqa qi ya.', 'Aqa qi ya Head Of Aqa qi ya.']","aqa, qi, ya, administered, attendance, abyssinia, febrifuge, treatment"
16,70,16_sampati_inhabitants_contains_almost,"['sampati', 'inhabitants', 'contains', 'almost', 'complete', 'treatment', 'tehl', 'shivapputa', 'seizures', 'cephalomyelitis']","['general On sampati.', 'sampati Disease general.', 'd Mixed_with sampati. d Mixed_with sampati. d Mixed_with sampati. v - g Addition To sampati.']","sampati, inhabitants, contains, almost, complete, treatment, tehl, shivapputa"
17,68,17_agrameerut_associated_parturition_with,"['agrameerut', 'associated', 'parturition', 'with', 'puerperal', 'old', 'lactation', 'ovary', 'year', 'eastern']","['Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old. Agra-Meerut Associated With year old.', 'Agra-Meerut Associated With general. Agra-Meerut Associated With general. Agra-Meerut Associated With general. Agra-Meerut Associated With general. Agra-Meerut Associated With pargan. Agra-Meerut Associated With pargan. lachrama Associated With c. usional insanity Associated With general. usional insanity Associated With pargan.', 'Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With C. L. ovary. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal. Agra-Meerut Associated With parturition and lactation (puerperal.']","agrameerut, associated, parturition, with, puerperal, old, lactation, ovary"
18,65,18_camel_silladar_corp_54th,"['camel', 'silladar', 'corp', '54th', '61st', '57th', '62nd', '60th', '59th', '55th']","['54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu Investigation Officer 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu.', 'surra After Treatment 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu. 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu Comparative Immunity Of surra. 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu All Attempts At Artificial Cultivation Of Have As Yet Failed To Give 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu. W. L Cases Of surra in horses at Muktesar laboratory. W. L Is The Subject Of Experimental Treatment By Means Of 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu.', 'day After Treatment 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu. day After Treatment 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu. day After Treatment 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu. day After Treatment 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu. cured After Treatment 54th, 55th, 56th and 57th Silladar Camel Corp, and the 59th, 60th, 61st and 62nd Grantee Camel Corps and Local Transport Bannu.']","camel, silladar, corp, 54th, 61st, 57th, 62nd, 60th"
19,65,19_kamathlpura_nagpada_2nd_kattiawar,"['kamathlpura', 'nagpada', '2nd', 'kattiawar', 'bhang', 'jagheers', 'massala', 'under', 'after', 'comprising']","['2nd nagpada kamathlpura Progress Of The Disease Was Stopped 2nd nagpada kamathlpura. 2nd nagpada kamathlpura Negative In All Specimens 2nd nagpada kamathlpura. 2nd nagpada kamathlpura British India Steam Navigation Company Have Also Promised To Convey Horses From 2nd nagpada kamathlpura.', '2nd nagpada kamathlpura Received From 2nd nagpada kamathlpura.', 'A. ward At 2nd nagpada kamathlpura.']","kamathlpura, nagpada, 2nd, kattiawar, bhang, jagheers, massala, under"
20,54,20_zone_ceylon_dry_active,"['zone', 'ceylon', 'dry', 'active', 'dried', 'digested', 'when', 'days', 'of', 'consume']","['Dry Zone of Ceylon Rate Gained weight. Dry Zone of Ceylon Rate Gained weight. Dry Zone of Ceylon Changes In j.', 'Dry Zone of Ceylon Distribution Of Dry Zone of Ceylon.', 'Dry Zone of Ceylon Administered mouth disease. Dry Zone of Ceylon Effect On Dry Zone of Ceylon.']","zone, ceylon, dry, active, dried, digested, when, days"
21,51,21_cc_doses_2028_diameter,"['cc', 'doses', '2028', 'diameter', 'their', 'athletic', 'worth', 'club', '8a', '9d']","['two rupee Apparatus For Athletic Club Worth Rs Were Purchased During The Year 8 c.c.) doses. two rupee Apparatus For Athletic Club Worth Rs Were Purchased During The Year 8 c.c.) doses. two rupee Apparatus For Athletic Club Worth Rs Were Purchased During The Year 8 c.c.) doses. two rupee Apparatus For Athletic Club Worth Rs Were Purchased During The Year 8 c.c.) doses.', '8 c.c.) doses Apparatus For Athletic Club Worth Rs Were Purchased During The Year Agency Tracts.', 'Agency Tracts Apparatus For Athletic Club Worth Rs Were Purchased During The Year 8 c.c.) doses.']","cc, doses, 2028, diameter, their, athletic, worth, club"
22,50,22_leper_lepers_leprosy_leprous,"['leper', 'lepers', 'leprosy', 'leprous', 'parents', 'family', 'setarinae', 'brothers', 'sisters', 'connection']","['leprosy Leper lepers. leprosy Leper wives. leprosy No Connection Between Leprosy And family setarinae.', 'he Leper leper. wife Leper leper. family setarinae No Connection Between Leprosy And leper.', 'family setarinae Leper lepers. family setarinae Leper lepers. family setarinae Leper lepers. family setarinae Leper lepers. family setarinae Leper lepers.']","leper, lepers, leprosy, leprous, parents, family, setarinae, brothers"
23,45,23_agricultural_advisory_council_research,"['agricultural', 'advisory', 'council', 'research', 'imperial', 'board', 'of', 'allunion', 'applying', 'demonstration']","['Advisory Board of the Imperial Council of Agricultural Research Attendance pargan. Advisory Board of the Imperial Council of Agricultural Research Attendance pargan. herd of this breed Affects On The System Sooner Than cow. bar farms Apprentices nili bar. Advisory Board of the Imperial Council of Agricultural Research Attendance sampati. Advisory Board of the Imperial Council of Agricultural Research Attendance amritsar. Advisory Board of the Imperial Council of Agricultural Research Attendance lyallpur. Advisory Board of the Imperial Council of Agricultural Research Mr. Aitchison Was On Tour For Days pargan. Advisory Board of the Imperial Council of Agricultural Research Mr. Aitchison Was On Tour For Days tined grubber.', 'W. L Attendance Advisory Board of the Imperial Council of Agricultural Research. W. L Attendance Advisory Board of the Imperial Council of Agricultural Research. W. L Attendance Advisory Board of the Imperial Council of Agricultural Research. W. L Attendance Advisory Board of the Imperial Council of Agricultural Research. W. L Attendance Advisory Board of the Imperial Council of Agricultural Research. W. L Attendance Advisory Board of the Imperial Council of Agricultural Research. W. L Charge Of department. W. L Charge Of department. W. L Charge Of department. W. L Inspected 1-1000 dilutions of blood-sera. W. L Attendance Annual Cattle Show.', 'general Abstract Of Advisory Board of the Imperial Council of Agricultural Research.']","agricultural, advisory, council, research, imperial, board, of, allunion"
24,45,24_sundaicus_sunlight_strong_upon,"['sundaicus', 'sunlight', 'strong', 'upon', 'action', 'temperature', 'sand', 'air', 'fleas', 'exposed']","['A. sundaicus After A case.', 'A. sundaicus Action Of Strong Sunlight Upon A. sundaicus. A. sundaicus Kept In A Fairly Dark And Cool Room A. sundaicus.', 'fleas Action Of Strong Sunlight Upon A. sundaicus.']","sundaicus, sunlight, strong, upon, action, temperature, sand, air"
25,43,25_weeks_march_december_free,"['weeks', 'march', 'december', 'free', 'one', 'for', 'months', 'in', 'syngami', 'and']","['A plague hospital Free For Weeks In March ; One In December ; And For j. A plague hospital Free For Weeks In March ; One In December ; And For j.', '3 c.c.) doses Free For Weeks In March ; One In December ; And For months.', 'd Free For Weeks In March ; One In December ; And For j. d Free For Weeks In March ; One In December ; And For february. d Free For Weeks In March ; One In December ; And For march. d Free For Weeks In March ; One In December ; And For april.']","weeks, march, december, free, one, for, months, in"
26,41,26_ventilator_barred_grunthal_absconded,"['ventilator', 'barred', 'grunthal', 'absconded', 'completion', 'but', 'angina', 'pectoris', 'before', 'improved']","['barred ventilator Condition Much Improved barred ventilator.', 'barred ventilator Recovered barred ventilator. barred ventilator Recovered barred ventilator. Air temperature I B. Grunthal barred ventilator. Air temperature I B. Grunthal barred ventilator. Air temperature Demonstrates Delay Both In Reduction And Recovery Of Respiratory Property In Hæmoglobin general. barred ventilator Reduced barred ventilator. barred ventilator Ditto Lost barred ventilator.', 'barred ventilator Improved But Absconded Before Completion Of Treatment barred ventilator. barred ventilator Improved But Absconded Before Completion Of Treatment barred ventilator. barred ventilator Improved But Absconded Before Completion Of Treatment barred ventilator. barred ventilator Improved But Absconded Before Completion Of Treatment barred ventilator. barred ventilator Improved But Absconded Before Completion Of Treatment barred ventilator. barred ventilator Improved But Absconded Before Completion Of Treatment barred ventilator. barred ventilator Improved But Absconded Before Completion Of Treatment barred ventilator. needle Received From needle. needle Received From needle. barred ventilator Affects On The System Sooner Than barred ventilator. barred ventilator Affects On The System Sooner Than barred ventilator. salt solution Bottle salt solution. salt solution Bottle salt solution. Angina Pectoris Still In The Same Precarious State ; There Has Been Some Angina Pectoris. Angina Pectoris Still In The Same Precarious State ; There Has Been Some Angina Pectoris. canula Inserted canula. Air temperature Rectum Acute Enteritis. Angina Pectoris Feebly Flickering Angina Pectoris. Angina Pectoris Began Beating Again Angina Pectoris. barred ventilator Begun Again barred ventilator. right vagus All Under right vagus. right carotid Ligatured right carotid. general Added In Each Tube manometer.']","ventilator, barred, grunthal, absconded, completion, but, angina, pectoris"
27,39,27_men_physique_appearance_general,"['men', 'physique', 'appearance', 'general', 'keepers', 'visited', 'buttons', 'collar', 'gilt', 'night']","['general General Appearance And Physique Of The Men general. general General Appearance And Physique Of The Men general. general General Appearance And Physique Of The Men general. general General Appearance And Physique Of The Men general. general General Appearance And Physique Of The Men lachrama. general General Appearance And Physique Of The Men lachrama.', 'men General Appearance And Physique Of The Men j. men General Appearance And Physique Of The Men Allahabad.', 'disease General Appearance And Physique Of The Men men.']","men, physique, appearance, general, keepers, visited, buttons, collar"
28,39,28_paying_fuud_malutenanee_patients,"['paying', 'fuud', 'malutenanee', 'patients', 'for', 'rs', 'indian', 'mental', 'rates', 'malee']","['c Malutenanee Fuud For Paying Patients day.', '3 c.c.) doses Malutenanee Fuud For Paying Patients Lab_value.', 'c Malutenanee Fuud For Paying Patients c.']","paying, fuud, malutenanee, patients, for, rs, indian, mental"
